model_name,repo,imagenet_top1,imagenet_top5,params,layer,hook,accuracy,baseline_accuracy
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,skip_layer_ffn,65.92,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,skip_layer_ffn_residual,2.93,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,skip_layer_ffn_residual_no_residual_attention,0.49,66.8
DeiT-tiny,facebook/deit-tiny-patch16-224,72.2,91.1,5M,11,full_layer_skip,65.23,66.8
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,skip_layer_atten,19.63,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,skip_layer_attention_residual,0.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,skip_layer_ffn,0.2,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,skip_layer_ffn_residual,3.81,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,skip_layer_ffn_residual_no_residual_attention,0.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,0,full_layer_skip,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,skip_layer_atten,75.1,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,skip_layer_attention_residual,0.2,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,skip_layer_ffn,72.95,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,skip_layer_ffn_residual,0.1,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,skip_layer_ffn_residual_no_residual_attention,0.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,1,full_layer_skip,67.19,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,skip_layer_atten,75.59,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,skip_layer_attention_residual,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,skip_layer_ffn,74.71,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,skip_layer_ffn_residual,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,skip_layer_ffn_residual_no_residual_attention,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,2,full_layer_skip,72.75,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,skip_layer_atten,74.61,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,skip_layer_attention_residual,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,skip_layer_ffn,76.37,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,skip_layer_ffn_residual,0.1,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,skip_layer_ffn_residual_no_residual_attention,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,3,full_layer_skip,74.71,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,skip_layer_atten,74.22,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,skip_layer_attention_residual,0.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,skip_layer_ffn,74.9,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,skip_layer_ffn_residual,0.2,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,skip_layer_ffn_residual_no_residual_attention,0.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,4,full_layer_skip,73.93,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,skip_layer_atten,75.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,skip_layer_attention_residual,0.2,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,skip_layer_ffn,74.32,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,skip_layer_ffn_residual,0.29,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,skip_layer_ffn_residual_no_residual_attention,0.1,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,5,full_layer_skip,73.54,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,skip_layer_atten,74.51,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,skip_layer_attention_residual,0.49,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,skip_layer_ffn,74.8,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,skip_layer_ffn_residual,1.76,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,skip_layer_ffn_residual_no_residual_attention,0.1,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,6,full_layer_skip,73.44,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,skip_layer_atten,74.41,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,skip_layer_attention_residual,0.78,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,skip_layer_ffn,73.93,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,skip_layer_ffn_residual,1.37,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,skip_layer_ffn_residual_no_residual_attention,0.68,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,7,full_layer_skip,74.02,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,skip_layer_atten,74.51,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,skip_layer_attention_residual,6.15,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,skip_layer_ffn,74.51,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,skip_layer_ffn_residual,20.9,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,skip_layer_ffn_residual_no_residual_attention,3.52,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,8,full_layer_skip,73.93,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,skip_layer_atten,75.49,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,skip_layer_attention_residual,26.76,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,skip_layer_ffn,75.49,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,skip_layer_ffn_residual,38.38,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,skip_layer_ffn_residual_no_residual_attention,16.31,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,9,full_layer_skip,74.02,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,skip_layer_atten,75.68,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,skip_layer_attention_residual,4.69,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,skip_layer_ffn,75.0,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,skip_layer_ffn_residual,44.92,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,skip_layer_ffn_residual_no_residual_attention,1.46,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,10,full_layer_skip,75.2,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,skip_layer_atten,75.49,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,skip_layer_attention_residual,5.37,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,skip_layer_ffn,75.78,75.98
DeiT-small,facebook/deit-small-patch16-224,79.9,95.0,22M,11,skip_layer_ffn_residual,0.49,75.98
